,id,Beds,Baths,Balconies, Covered Parking,Carpet Area,Developer,Project,Status,Facing,Lifts,Furnished Status,Car parking,Age of Construction,Rental Value,Security Deposit,Address,Landmarks,Furnishing,Flooring,Overlooking,Additional Rooms,Water Availability,Status of Electricity,Lift,Num of Amenities,Floor,Balcony,Super Built-up Area,Type of Ownership,Authority Approval,Bed,RERA ID,Bath,Floors allowed for construction
1588,4d423730393337353933,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1589,4d423639393638353133,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1590,4d423730323339373531,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1591,4d423731323139363235,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1592,4d423630373733313837,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1593,4d423730313031353333,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1594,4d423639323835383931,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1595,4d423731323732363439,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1596,4d423731343431393435,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1597,4d423730333230363139,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1598,4d423731363639323435,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1599,4d423731333035343735,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1600,4d423731363733343937,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1601,4d423731303130313439,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1602,4d423639363634383939,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1603,4d423731343932383535,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1604,4d423730343633323033,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1605,4d423730383037353539,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1606,4d423730393232303831,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1607,4d423731333639373331,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1608,4d423730363638383433,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1609,4d423634363633353633,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1610,4d423639363633363939,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1611,4d423731363036393831,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1612,4d423731353537323839,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
